"period","inst_lec","inst_rtw","inst_fup","inst_pq","inst_cq","inst_anq","inst_mg","inst_1o1","inst_dv","inst_adm","inst_w","inst_o","stud_L","engage_stud_L","stud_ind","engage_stud_ind","stud_cg","engage_stud_cg","stud_wg","engage_stud_wg","stud_og","engage_stud_og","stud_anq","engage_stud_anq","stud_sq","engage_stud_sq","stud_wc","engage_stud_wc","stud_prd","engage_stud_prd","stud_sp","engage_stud_sp","stud_tq","engage_stud_tq","stud_w","engage_stud_w","stud_o","engage_stud_o"
1,1,1,0,1,0,0,0,0,0,0,0,0,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2,1,1,0,1,0,0,0,0,0,0,0,0,1,"High",0,,0,,0,,1,"High",1,"High",0,,0,,0,,0,,0,,0,,0,
3,1,1,0,1,0,1,0,0,0,0,0,1,1,"High",0,,0,,0,,0,,1,"High",1,"High",0,,0,,0,,0,,0,,0,
4,1,1,0,1,0,0,0,0,0,0,0,0,1,"High",0,,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,
5,1,1,0,0,0,0,0,0,0,1,0,0,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
7,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
8,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
9,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
10,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
11,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
12,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
13,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
14,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
15,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"High",0,,0,
16,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,
17,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,
18,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,
19,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,
20,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,
21,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,
22,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,
23,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,
24,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,,0,,1,"High",0,,0,,0,,0,,0,,0,,0,,0,,0,
25,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,,1,"Medium",0,,0,,0,,0,,0,,0,,0,,0,,0,
